id,family,user_outcome,demand_evidence,document_artifact_reuse,external_requests,cost_model,latency,cacheability,risks,rest_status,remote_mcp_status,buyer_bridge_status,pricing_contract,status,reason,evidence,review_date
reachability_redirects,transport,Know whether a URL responds and where it redirects.,https://docs.firecrawl.dev/features/scrape,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,"Core bounded-fetch outcome; url_status, url_pulse and url_redirects.",https://docs.firecrawl.dev/features/scrape,2026-11-09
headers_timing_content_type,transport,"Inspect response headers, timing, MIME type and size.",https://developers.cloudflare.com/browser-run/quick-actions/crawl-endpoint/,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Deterministic signals from the validated fetch.,https://developers.cloudflare.com/browser-run/quick-actions/crawl-endpoint/,2026-11-09
metadata_social_headings,metadata,"Extract title, canonical, author, social cards and heading outline.",https://docs.firecrawl.dev/features/scrape,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Common discovery and RAG preparation need.,https://docs.firecrawl.dev/features/scrape,2026-11-09
text_markdown_rag,content,"Get bounded readable text, Markdown and deterministic RAG chunks.",https://docs.firecrawl.dev/features/scrape,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Direct buyer outcome for agents and knowledge ingestion.,https://docs.firecrawl.dev/features/scrape,2026-11-09
links_images_tables_citations,content,"Extract bounded links, images, tables and citation candidates.",https://docs.firecrawl.dev/features/scrape,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Machine-readable extraction extends one shared artifact at near-zero marginal cost.,https://docs.firecrawl.dev/features/scrape,2026-11-09
jsonld_static_validation,quality,Extract JSON-LD and flag syntax or missing @context/@type.,https://validator.schema.org/docs/validator.html,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Useful static subset; explicitly not a full Schema.org certification.,https://validator.schema.org/docs/validator.html,2026-11-09
accessibility_static,quality,"Check language, H1, alt text, control labels and named links in static HTML.",https://www.w3.org/WAI/test-evaluate/,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Fast deterministic pre-audit; explicitly not WCAG certification.,https://www.w3.org/WAI/test-evaluate/,2026-11-09
technology_signals,quality,Identify declared generator and bounded framework/CMS markers.,https://www.wappalyzer.com/technologies/,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,"Useful routing signal; returned as heuristic evidence, not fact.",https://www.wappalyzer.com/technologies/,2026-11-09
security_policy_tls,security,"Inspect security headers, CORS/CSP/cookies/mixed content and TLS transport evidence.",https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Static policy evidence is available from the same safe fetch.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy,2026-11-09
localization_content_quality,quality,Check hreflang/canonical coherence and deterministic thin-content signals.,https://developers.google.com/search/docs/specialty/international/localized-versions,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Common SEO/content hygiene outcome without browser execution.,https://developers.google.com/search/docs/specialty/international/localized-versions,2026-11-09
site_discovery,discovery,"Discover robots, sitemaps, feeds, llms.txt, security.txt and OpenAPI hints.",https://www.rfc-editor.org/rfc/rfc9309,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Agent onboarding and site-map discovery from bounded declared resources.,https://www.rfc-editor.org/rfc/rfc9309,2026-11-09
site_coherence,discovery,Summarize whether discovery signals agree without crawling the site.,https://www.sitemaps.org/protocol.html,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,New shared-artifact projection with no extra request.,https://www.sitemaps.org/protocol.html,2026-11-09
history_change,monitoring,"Hash normalized content, compare snapshots and report change state.",https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/ETag,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Existing audited snapshot storage; no automatic subscription or retry.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/ETag,2026-11-09
performance_network_static,quality,"Report fetch latency, document size and cache-policy signals without JavaScript.",https://developers.cloudflare.com/browser-run/quick-actions/crawl-endpoint/,full,1,one bounded HTTP fetch; cacheable,one upstream HTTP round trip,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,fixed atomic amount before work,implemented,Safe low-cost alternative to browser lab tests.,https://developers.cloudflare.com/browser-run/quick-actions/crawl-endpoint/,2026-11-09
batch_url_status,batch,Check one to five distinct URLs in input order with bounded partial failures.,https://docs.firecrawl.dev/api-reference/endpoint/batch-scrape,per URL,1..5 sequential guarded fetches,unit atomic price multiplied by validated URL count,bounded sequential; maximum five upstream round trips,artifact and projection cacheable for bounded TTL,"SSRF, robots, privacy; guarded and audited",implemented,implemented,implemented,per-input-URL amount fixed before work,implemented,Body-aware quote equals unit price times URL count before any fetch.,https://docs.firecrawl.dev/api-reference/endpoint/batch-scrape,2026-11-09
